Title, Artist, Album, Genre, BPM
Afterglow , Wilkinson , Afterglow - Single , Electronic , None
Animals (Original Mix) , Martin Garrix , Animals , Progressive House , 128
Count On Me (feat. Moko) , Chase & Status , Count On Me (feat. Moko) - Single , Electronic , None
Counting Stars , OneRepublic , Native , Pop , None
Do I Wanna Know? , Arctic Monkeys , AM , Rock , None
Drive By , Train , Drive By - Single , Indie , None
Drunken Lullabies , Flogging Molly , Drunken Lullabies , Rock , None
End Credits (Ft. Plan B) , Chase & Status , End Credits , Alternative , None
Erase Me , Kid Cudi , None , Alternative , None
Hey Ya! , OutKast , Greatest Hits , Rap , None
Holy Grail , Jay-Z , Magna Carta Holy Grail , Hip Hop , None
I Love It , Icona Pop , Single , Pop , None
Love Me Again , John Newman , Love Me Again - Single , Pop , None
My Songs Know What You Did In the Dark (Light Em Up) , Fall Out Boy , My Songs Know What You Did In the Dark (Light Em Up) - Single , Alternative , None
Not Giving In (feat. John Newman & Alex Clare) , Rudimental , Not Giving In (feat. John Newman & Alex Clare) - Single , Dance , None
Summertime Sadness (Cedric Gervais Remix) , Lana Del Rey , Summertime Sadness (Cedric Gervais Remix) - Single , Alternative , None
Tennis Court , Lorde , Pure Heroine , Indie Pop , None
This Is It , Staind , The Illusion Of Progress (Limited Edition) , Alt. Rock , None
Wake Me Up , Avicii , True , House , None
Burn It To The Ground , Nickelback , Dark Horse , Rock , None
Can't Hold Us (feat. Ray Dalton) , Macklemore & Ryan Lewis , The Heist (Deluxe Edition) , Hip-Hop/Rap , None
Champion , Kanye West , Graduation , Hip-Hop , None
Don't Stop Believin' , Journey , Journey: Greatest Hits , Rock , None
Hurt , Johnny Cash , American IV: The Man Comes Around , Country , None
Killing in the Name , Rage Against the Machine , Rage Against the Machine , Metal , None
Punching In A Dream , The Naked And Famous , Passive Me / Agressive You , Indie , None
Riptide , Vance Joy , God Loves You When You're Dancing - EP , Alternative , None
Latch (Album Version) , Disclosure feat. Sam Smith , Settle (Deluxe Version) , Electronica , None
Living In America , The Sounds , Living In America , Rock , None
Propane Nightmares , Pendulum , In Silico , Drum & Bass , None
Put Your Money Where Your Mouth Is , Jet , Shine On , Rock , None
Rain Over Me (Feat. Marc Anthony) , Pitbull , Planet Pit (Deluxe Edition) , Hip-Hop , None
Supermassive Black Hole , Muse , Black Holes And Revelations , Rock , None
Thrift Shop (feat. Wanz) , Macklemore & Ryan Lewis , The Heist (Deluxe Edition) , Hip-Hop/Rap , None
Time Is Running Out , Muse , Absolution , Rock , None
Tonight (Ft. Netsky) , Danny Byrd , Danny Byrd - Rave Digger (2010) , Drum & Bass , None
Bleed It Out , Linkin Park , Minutes To Midnight , Nu Metal Punk Rock , None
Demons , Imagine Dragons , Night Visions , Alternative , None
Fell In Love With A Girl , The White Stripes , White Blood Cells , Rock , None
Grounds For Divorce , Elbow , The Seldom Seen Kid , Brit Rock , None
Too Close , Alex Clare , The Lateness Of The Hour , Pop , None
Survival (Feat. Liz Rodrigues) , Eminem , The Marshall Mathers LP2 (Deluxe) , Hip-Hop , None
The Mess , The Naked and Famous , In Rolling Waves , Indie , None
Liar Liar , Avicii , True , House , None
Team , Lorde , Pure Heroine , Indie Pop , None
Cookie Jar , Gym Class Heroes , The Quilt , Hip Hop , None
Berzerk , Eminem , The Marshall Mathers LP2 (Deluxe) , Hip-Hop , None
Get Lucky (feat. Pharrell Williams) , Daft Punk , Random Access Memories , Pop , None
Monkey Wrench , Foo Fighters , Greatest Hits , Rock , None
Bleeding Out , Imagine Dragons , Night Visions , Alternative , None
Hopeless Wanderer , Mumford & Sons , Babel , Folk Rock , None
Of the Night , Bastille , Of the Night - Single , Alternative , None
Ulysses , Franz Ferdinand , Tonight , Rock , None
Let Her Go , Passenger , All The Little Lights , Pop , None
Chocolate , The 1975 , The 1975 (Deluxe Edition) , Alternative , None
Sex , The 1975 , The 1975 (Deluxe Edition) , Alternative , None
Fake It , Seether , Seether: 2002-2013 , Post-Grunge , None
Be Somebody , Kings Of Leon , Only By The Night , Rock , None
Homecoming  (Ft. Chris Martin) , Kanye West , Graduation , Hip-Hop , None
Rip It Up , Jet , Shine On , Rock , None
Sail , Awolnation , Megalithic Symphony (Advance) , Electronic , None
Spectrum , Florence + The Machine , Ceremonials (Deluxe Version) , Alternative , None
Girls Like You , The Naked And Famous , Passive Me / Aggressive You , Indie , None
Alive , Chase & Status , Brand New Machine (Deluxe Version) , Drum & Bass , None
My Medicine , Snoop Dogg , Ego Trippin , Rap , None
B.O.B. , OutKast , Greatest Hits , Rap , None
Electric Feel (Justice Remix) , MGMT , Remixed Singles , Electronica & Dance , None
None , The Heavy , The House That Dirt Built , R&B/Soul , 320
Magic ft. Rivers Cuomo , B.o.B , None , Alternative , None
Rock N' Roll (Will Take You To The Mountain) , Skrillex , Scary Monsters And Nice Sprites , Dubstep , None
What is love , Haddaway , None , Pop , None
